"Academic_Year", "Company_Name", "No_Of_Recruited_Students", "Salary", "Avg_Salary", "Median_Salary"
"2022-2023","JPMorgan Chase & Co.",39,17.5,8.64,6
"2022-2023","Institutional Shareholder Services(ISS)",12,13,8.64,6
"2022-2023","JPMorgan Chase & Co.",39,17.5,8.64,6
"2022-2023","Institutional Shareholder Services(ISS)",12,13,8.64,6
"2022-2023","Forcepoint",4,14.5,8.64,6
"2022-2023","Indus Valley Partners",7,8.52,8.64,6
"2022-2023","Carwale",6,9,8.64,6
"2022-2023","Dolat Capital Market Pvt. Ltd.",4,14.5,8.64,6
"2022-2023","Deloitte",62,7.6,8.64,6
"2022-2023","Quantiphi Analytics Solutions",15,8.5,8.64,6
"2022-2023","Interactive Brokers LLC",4,10.42,8.64,6
"2022-2023","Apport Software solution Pvt Ltd (QuickSell)",1,15,8.64,6
"2022-2023","Larsen & Toubro Infotech Limited",1,4.5,8.64,6
"2022-2023","Larsen & Toubro Infotech Limited",1,5,8.64,6
"2022-2023","Larsen & Toubro Infotech Limited",8,4,8.64,6
"2022-2023","Ernst & Young Global Limited",15,6.37,8.64,6
"2022-2023","Ernst & Young Global Limited",3,5.5,8.64,6
"2022-2023","Barclays - India",21,13.67,8.64,6
"2022-2023","Barclays - India",13,12.67,8.64,6
"2022-2023","Accenture Solutions Pvt. Ltd.",18,4.5,8.64,6
"2022-2023","Capgemini",9,4.25,8.64,6
"2022-2023","Teradata India Pvt. Ltd.",1,6.43,8.64,6
"2022-2023","Tata Consultatancy Services Ninja",3,4,8.64,6
"2022-2023","Tata Consulatancy Services Ninja",9,3.6,8.64,6
"2022-2023","Willis Tower Watson",4,6,8.64,6
"2022-2023","GAMES 24X7 Pvt. Ltd.",2,11,8.64,6
"2022-2023","GAMES 24X7 Pvt. Ltd.",3,12,8.64,6
"2022-2023","Kotak Mahindra Bank",12,10,8.64,6
"2022-2023","Kotak Securities",3,8,8.64,6
"2022-2023","Kotak Securities",3,7,8.64,6
"2022-2023","Kotak Securities",3,6.5,8.64,6
"2022-2023","Larsen & Toubro Infotech Limited - GET",7,6,8.64,6
